abstract,keywords,author,url,doi,issn,year,pages,volume,journal,title,ENTRYTYPE,ID,note
"In the era of User Generated Content (UGC), authors (IDs) of texts widely exist and play a key role in determining the topic categories of texts. Existing text clustering efforts are mainly attributed to utilizing textual information, but the effect of authors on text clustering remains largely underexplored. To mitigate this issue, we propose a novel Contrastive Author-aware Text clustering approach, dubbed as CAT. CAT injects author information not only in characterizing texts through representations but also in pushing or pulling text representations of different authors through contrastive learning, which is rarely adopted by text clustering. Specifically, the developed contrastive learning method conducts both cluster-instance contrast by the text representation augmentation and instance-instance contrast by the multi-view representations. We perform comprehensive experiments on three public datasets, demonstrating that CAT largely outperforms strong competitive text clustering baselines and validating the effectiveness of the CATâs main components.","Text clustering, Contrastive learning, Representation learning",Xudong Tang and Chao Dong and Wei Zhang,https://www.sciencedirect.com/science/article/pii/S0031320322002680,https://doi.org/10.1016/j.patcog.2022.108787,0031-3203,2022,108787,130,Pattern Recognition,Contrastive author-aware text clustering,article,TANG2022108787,
"Face manipulation techniques, especially DeepFake techniques, are causing severe social concerns and security problems. When faced with skewed data distributions such as those found in the real world, existing DeepFake detection methods exhibit significantly degraded performance, especially the AUC score. In this paper, we focus on DeepFake detection in real-world situations. We propose a dual-level collaborative framework to detect frame-level and video-level forgeries simultaneously with a joint loss function to optimize both the AUC score and error rate at the same time. Our experiments indicate that the AUC loss boosts imbalanced learning performance and outperforms focal loss, a state-of-the-art loss function to address imbalanced data. In addition, our multitask structure enables mutual reinforcement of frame-level and video-level detection and achieves outstanding performance in imbalanced learning. Our proposed method is also more robust to video quality variations and shows better generalization ability in cross-dataset evaluations than existing DeepFake detection methods. Our implementation is available online at https://github.com/PWB97/Deepfake-detection.","DeepFake detection, Multitask learning, Imbalanced learning, AUC optimization",Wenbo Pu and Jing Hu and Xin Wang and Yuezun Li and Shu Hu and Bin Zhu and Rui Song and Qi Song and Xi Wu and Siwei Lyu,https://www.sciencedirect.com/science/article/pii/S0031320322003132,https://doi.org/10.1016/j.patcog.2022.108832,0031-3203,2022,108832,130,Pattern Recognition,Learning a deep dual-level network for robust DeepFake detection,article,PU2022108832,
"Few-shot learning (FSL) aims at fast adaptation to novel classes with few training samples. Among FSL methods, meta-learning and transfer learning-based methods are the most powerful ones. However, most of them rely to some extent on cross-entropy loss, which leads to representations that are overly concerned with the classes already seen, and in turn leads to sub-optimal generalization on novel classes. In this study, we are inspired by meta-learning and transfer learning-based methods and believe good feature representations are vital for FSL. To this end, we propose a new multi-granularity episodic contrastive learning method (MGECL) that introduces contrastive learning into the episode training process. In particular, by enforcing our proposed contrastive loss on both class and instance granularities, the model is able to extract category-independent discriminative patterns and learn richer and more transferable feature representations. Extensive experiments demonstrate that our proposed method achieves state-of-the-art performance on three popular few-shot benchmarks. Our code is available at https://github.com/z1358/MGECL_PR.","Multi-granularity computing, Episodic contrastive learning, Few-shot learning, Deep learning",Pengfei Zhu and Zhilin Zhu and Yu Wang and Jinglin Zhang and Shuai Zhao,https://www.sciencedirect.com/science/article/pii/S0031320322003016,https://doi.org/10.1016/j.patcog.2022.108820,0031-3203,2022,108820,131,Pattern Recognition,Multi-granularity episodic contrastive learning for few-shot learning,article,ZHU2022108820,
"Feature fusion has been widely used for improving the tracking performance. However, how to effectively analyze the characteristics of different visual features to realize dynamical feature fusion is still a challenging task. In this paper, we propose a spatial-temporal context-based dynamic feature fusion method (STCDFF) with the correlation filters framework for object tracking. The proposed STCDFF method exploits spatial-temporal context to deeply analyze the characteristics of multiple visual features (e.g., HOG, Color-Names and CNN features) to perform feature fusion. On the one hand, spatial context is employed to evaluate the discriminative ability of different features to distinguish the target object from the background. On the other hand, temporal context is utilized to consider the representative ability of different features to capture significant appearance changes of the target object. The weight of a feature is decided by both its discriminative ability and representative ability. By exploring spatial-temporal context for feature fusion, the STCDFF method can fully utilize the strengths of different features to handle complex appearance changes and background clutters to achieve better performance. Extensive experiments on multiple object tracking datasets prove that our STCDFF method performs competitively against several popular tracking methods.","Object tracking, Dynamic feature fusion, Spatial-temporal context, Correlation filters framework",Ke Nai and Zhiyong Li and Haidong Wang,https://www.sciencedirect.com/science/article/pii/S0031320322002564,https://doi.org/10.1016/j.patcog.2022.108775,0031-3203,2022,108775,130,Pattern Recognition,Dynamic feature fusion with spatial-temporal context for robust object tracking,article,NAI2022108775,
"Preserving the intrinsic structure of data is very important for unsupervised dimensionality reduction. For structure preserving, graph embedding technique is widely considered. However, most of the existing unsupervised graph embedding based methods cannot effectively preserve the intrinsic structure of data since these methods either use the constant graph or only explore the geometric structure based on the distance information or representation information. To solve this problem, a novel method, called locality preserving projection with symmetric graph embedding (LPP_SGE), is proposed. LPP_SGE introduces a novel adaptive graph learning model and can obtain the intrinsic graph and projection in a unified framework by fully exploring the representation information and distance information of the original data. Different from the existing works which generally introduce no less than two constraints to capture the representation information and distance information, LPP_SGE can simultaneously capture the above two kinds of structure information in one term. Moreover, LPP_SGE introduces an âl2,1â norm based projection constraint to select the most discriminative features from the complex data for dimensionality reduction, such that the robustness is enhanced. Experimental results on four databases and two kinds of noisy databases show that LPP_SGE performs better than many well-known methods.","Dimensionality reduction, Feature extraction, Graph embedding, Unsupervised learning",Xiaohuan Lu and Jiang Long and Jie Wen and Lunke Fei and Bob Zhang and Yong Xu,https://www.sciencedirect.com/science/article/pii/S0031320322003259,https://doi.org/10.1016/j.patcog.2022.108844,0031-3203,2022,108844,131,Pattern Recognition,Locality preserving projection with symmetric graph embedding for unsupervised dimensionality reduction,article,LU2022108844,
"Multi-view data clustering based on Non-negative Matrix Factorization (NMF) has been commonly used for pattern recognition by grouping multi-view high-dimensional data by projecting it to a lower-order dimensional space. However, the NMF framework fails to learn the accurate lower-order representation of the input data if it exhibits complex and non-linear relationships. This paper proposes a deep non-negative matrix factorization-based framework for effective multi-view data clustering by uncovering both the non-linear relationships and the intrinsic components of the data. Both the consensus and complementary information present in multiple views are sufficiently learned in the proposed framework with the effective use of constraints such as normalized cut-type and orthogonal. The optimal manifold of multi-view data is effectively incorporated in all layers of the framework. Extensive experimental results show the proposed method outperforms state-of-the-art multi-view matrix factorization-based methods.","Multi-view data/clustering, Manifold learning, Non-negative Matrix Factorization (NMF), Deep Matrix Factorization (DMF), Deep Non-negative Matrix Factorization (Deep-NMF)",Khanh Luong and Richi Nayak and Thirunavukarasu Balasubramaniam and Md Abul Bashar,https://www.sciencedirect.com/science/article/pii/S0031320322002965,https://doi.org/10.1016/j.patcog.2022.108815,0031-3203,2022,108815,131,Pattern Recognition,Multi-layer manifold learning for deep non-negative matrix factorization-based multi-view clustering,article,LUONG2022108815,
"Website fingerprinting (WF) attack aims to identify which website a user is visiting from the traffic data patterns. Whilst existing methods assume many training samples, we investigate a more realistic and scalable few-shot WF attack with only a few labeled training samples per website. To solve this problem, we introduce a novel Meta-Bias Learning (MBL) method for few-shot WF learning. Taking the meta-learning strategy, MBLÂ simulates and optimizes the target tasks. Moreover, a new model parameter factorization idea is introduced for facilitating meta-training with superior task adaptation. Expensive experiments show that our MBL outperforms significantly existing hand-crafted feature and deep learning based alternatives in both closed-world and open-world attack scenarios, at the absence and presence of defense.","User privacy, Internet anonymity, Data traffic, Website fingerprinting, Deep learning, Neural network, Few-shot learning, Meta-learning, Parameter factorization",Mantun Chen and Yongjun Wang and Xiatian Zhu,https://www.sciencedirect.com/science/article/pii/S0031320322002205,https://doi.org/10.1016/j.patcog.2022.108739,0031-3203,2022,108739,130,Pattern Recognition,Few-shot Website Fingerprinting attack with Meta-Bias Learning,article,CHEN2022108739,
"Subspace clustering aims to fit each category of data points by learning an underlying subspace and then conduct clustering according to the learned subspace. Ideally, the learned subspace is expected to be block diagonal such that the similarities between clusters are zeros. In this paper, we provide the explicit theoretical connection between spectral clustering and the subspace clustering based on block diagonal representation. We propose Enforced Block Diagonal Subspace Clustering (EBDSC) and show that the spectral clustering with the Radial Basis Function kernel can be regarded as EBDSC. Compared with the exiting subspace clustering methods, an analytical, nonnegative and symmetrical solution can be obtained by EBDSC. An important difference with respect to the existing ones is that our model is a more general case. EBDSC directly uses the obtained solution as the similarity matrix, which can avoid the complex computation of the optimization program. Then the solution obtained by the proposed method can be used for the final clustering. Finally, we provide the experimental analysis to show the efficiency and effectiveness of our method on the synthetic data and several benchmark data sets in terms of different metrics.","Subspace clustering, General form, Analytical, Nonnegative, Symmetrical solution",Yalan Qin and Hanzhou Wu and Jian Zhao and Guorui Feng,https://www.sciencedirect.com/science/article/pii/S0031320322002722,https://doi.org/10.1016/j.patcog.2022.108791,0031-3203,2022,108791,130,Pattern Recognition,Enforced block diagonal subspace clustering with closed form solution,article,QIN2022108791,
"Unsupervised person re-identification (Re-ID) is to retrieve pedestrians from different camera views without supervision information. State-of-the-art methods are usually built upon training a convolution neural network with pseudo labels generated by clustering. Unfortunately, the pseudo labels are highly unbalanced and heavily noisy, carrying ineffective or even erroneous supervision information. To address these deficiencies, we present an effective clustering and reorganization approach, called Cluster Consolidation, which aims to separate a small proportion of unreliable data points from each cluster. This approach benefits to improve the quality of the pseudo labels, but also yields more tiny clusters. Thus, we further propose a Cluster Adaptive Balancing (CAB) loss to effectively train the network with the imbalance pseudo labels, where our CAB loss is able to automatically balance the importance of each cluster. We conduct extensive experiments on widely used person Re-ID benchmark datasets and demonstrate the effectiveness of our proposals.","Unsupervised person re-identification, Cluster consolidation, Cluster adaptive balancing loss, Long-tail problem",Mingkun Li and He Sun and Chaoqun Lin and Chun-Guang Li and Jun Guo,https://www.sciencedirect.com/science/article/pii/S0031320322002448,https://doi.org/10.1016/j.patcog.2022.108763,0031-3203,2022,108763,129,Pattern Recognition,The devil in the tail: Cluster consolidation plus cluster adaptive balancing loss for unsupervised person re-identification,article,LI2022108763,
"Discovering unknown objects from visual information as curiosity is highly demanded for autonomous exploration in underwater environment. In this research, we propose an end-to-end deep neural network for anomaly detection in the highly dynamic unstructured underwater background faced by a moving robot. A novel patch-level autoencoder combined with a context-enhanced autoregressive network is introduced to differentiate abnormal patterns (unknowns) from normal ones (knowns) in fine-scale regions. The autoencoder and autoregressive network share the same encoder to extract latent features. The autoregressive branch learns semantic dependence based on conditional probability to identify anomaly in a latent feature space. The overall anomaly score is weighted by both image reconstruction loss and feature similarity loss. The model outperforms state-of-the-art anomaly detection, demonstrated on the benchmark dataset CIFAR-10. Average discrimination performance AUROC improved 2.18%, and inception distance between normal and anomalous classes improved 9.33% in Z-score. The network has been tested using three underwater datasets from underwater simulation, a real-world undersea video and public SUIM data. The AUROC accuracy improved 6.36%, 32.45% and 40.17% respectively by using the proposed patch learning paradigm. It is the first report on unknown detection as navigation clues for curiosity-driven autonomous underwater exploration.","Anomaly detection, Learning unknown objects, Deep learning autoencoder, Autonomous underwater robotics",Yang Zhou and Baihua Li and Jiangtao Wang and Emanuele Rocco and Qinggang Meng,https://www.sciencedirect.com/science/article/pii/S0031320322003417,https://doi.org/10.1016/j.patcog.2022.108860,0031-3203,2022,108860,131,Pattern Recognition,Discovering unknowns: Context-enhanced anomaly detection for curiosity-driven autonomous underwater exploration,article,ZHOU2022108860,
"Although quantum neural networks (QNNs) have shown promising results in solving simple machine learning tasks recently, the behavior of QNNs in binary pattern classification is still underexplored. In this work, we find that QNNs have an Achillesâ heel in binary pattern classification. To illustrate this point, we provide a theoretical insight into the properties of QNNs by presenting and analyzing a new form of symmetry embedded in a family of QNNs with full entanglement, which we term negational symmetry. Due to negational symmetry, QNNs can not differentiate between a quantum binary signal and its negational counterpart. We empirically evaluate the negational symmetry of QNNs in binary pattern classification tasks using Googleâs quantum computing framework. Both theoretical and experimental results suggest that negational symmetry is a fundamental property of QNNs, which is not shared by classical models. Our findings also imply that negational symmetry is a double-edged sword in practical quantum applications.","Deep learning, Quantum machine learning, Binary pattern classification, Representation learning, Symmetry",Nanqing Dong and Michael Kampffmeyer and Irina Voiculescu and Eric Xing,https://www.sciencedirect.com/science/article/pii/S003132032200231X,https://doi.org/10.1016/j.patcog.2022.108750,0031-3203,2022,108750,129,Pattern Recognition,Negational symmetry of quantum neural networks for binary pattern classification,article,DONG2022108750,
"Proximal support vector machine via generalized eigenvalues (GEPSVM) is one of the most successful methods for classification problems. However, GEPSVM is vulnerable to outliers since it learns classifiers based on the squared L2-norm distance without a specific strategy to deal with the outliers. Motivated by existing studies that improve the robustness of GEPSVM via the L1-norm distance or not-squared L2-norm distance formulation, a novel GEPSVM formulation that minimizes the p-order of L2-norm distance is proposed, namely, L2,p-GEPSVM. This formulation weakens the negative effects of both light and heavy outliers in the data. An iterative algorithm is designed to solve the general L2,p-norm distance minimization problems and rigorously prove its convergence. In addition, we adjust the parameters of L2,p-GEPSVM to balance the accuracy and training time. This is especially useful for larger datasets. Extensive results indicate that the L2,p-GEPSVM improves the classification performance and robustness in various experimental settings.","Classification problem, Distance metric learning, Outliers and noises, Robust L-GEPSVM method, Squared L-norm distance",He Yan and Liyong Fu and Tian'an Zhang and Jun Hu and Qiaolin Ye and Yong Qi and Dong-Jun Yu,https://www.sciencedirect.com/science/article/pii/S0031320322002606,https://doi.org/10.1016/j.patcog.2022.108779,0031-3203,2022,108779,129,Pattern Recognition,Robust distance metric optimization driven GEPSVM classifier for pattern classification,article,YAN2022108779,
"Feature selection is a crucial preprocessing step in data analysis and machine learning. Since causal relationships imply the underlying mechanism of a system, causality-based feature selection methods have gradually attracted great attentions. For a high dimensional system undergoing dynamic transformation, because of the non-stationarity and sample scarcity, modeling the causal structure among these features is difficult. In this paper, we propose a time-varying Granger causal networks to capture the causal relations underlying high dimensional time-varying vector autoregressive models with high order lagged dependence. A kernel reweighted group lasso method is proposed, which overcomes the limitations of sample scarcity and transforms the problem of Granger causal structural learning into a group variable selection problem. The asymptotic consistency of the proposed algorithm is proved. We apply the time-varying Granger causal networks to simulation experiments and real data in the financial market. The study demonstrates that the method provides an efficient tool to detect changes and analysis characters of causal dependency structure in network evolution.","Time-varying Granger causality, Feature selection, Group Lasso, Financial market network",Wei Gao and Haizhong Yang,https://www.sciencedirect.com/science/article/pii/S0031320322002709,https://doi.org/10.1016/j.patcog.2022.108789,0031-3203,2022,108789,130,Pattern Recognition,Time-varying Group Lasso Granger Causality Graph for High Dimensional Dynamic system,article,GAO2022108789,
"Deep neural networks (DNNs) have shown vulnerability to adversarial attacks. By exploiting the transferability of adversarial examples, attackers can fool models under black-box settings without accessing the underlying information. However, they often exhibit weak performance when transferring to defenses, which may give a false sense of security. In this paper, we propose Cyclical Adversarial Attack (CA2), a general and straightforward method to boost the transferability to break defenders. We first revisit the momentum-based methods from the perspective of optimization and find that they usually suffer from the transferability saturation dilemma. To address this, CA2 performs cyclical optimization algorithm to produce adversarial examples. Unlike the standard momentum policy that accumulates the velocity to continuously update the solution, we divide the generation process into multiple phases and treat the velocity vectors from the previous phase as proper knowledge to guide a new adversarial attack with larger steps. Moreover, CA2 applies a novel and compatible augmentation algorithm at every optimization in a loop manner for enhancing the black-box transferability further, referred to as cyclical augmentation. Extensive experiments conducted on a variety of models not only validate the efficacy of each designed algorithm in CA2, but also illustrate the superiority of our method compared with the state-of-the-art transferable attacks. Our implemental code is publicly available at https://github.com/mesunhlf/CA2.","Adversarial example, Transferability, Black-box attack, Defenses",Lifeng Huang and Shuxin Wei and Chengying Gao and Ning Liu,https://www.sciencedirect.com/science/article/pii/S0031320322003120,https://doi.org/10.1016/j.patcog.2022.108831,0031-3203,2022,108831,131,Pattern Recognition,Cyclical Adversarial Attack Pierces Black-box Deep Neural Networks,article,HUANG2022108831,
