abstract,keywords,author,url,doi,issn,year,pages,volume,journal,title,ENTRYTYPE,ID
"The debate around skeuomorphic and flat designs has been long lasting and inconclusive, in part because of the lack of empirical evidence supporting the superiority of one or the other icon style from the perspectives of function and aesthetics. Therefore, this study investigated whether older and younger users perceive the aesthetics of icon styles in the same manner as designers and which style results in the most efficient visual search. Using an experimental system that we developed, 24 older and 24 younger participants rated and searched application icons belonging to the two styles. The results indicated that there was generally a notable difference between participants' and designers' perceptions of icon design styles, even after training, and that the perceived icon design styles further influenced the visual search time and accuracy of the participants as well as their evaluation of the iconsâ?? beauty. The results imply that the younger participants could use the skeuomorphic icons more efficiently than they could use the flat icons and that they had an advantage over older participants in terms of this ability; however, aesthetically they appreciated flat icons more. In contrast, older participants searched skeuomorphic icons more quickly and accurately than they did flat icons, and aesthetically they appreciated skeuomorphic icons more.","Skeuomorphic design, Flat design, Smartphone, Older adults, App icons, Visual search",Ruoyu Chen and Jincheng Huang and Jia Zhou,https://www.sciencedirect.com/science/article/pii/S0003687018305751,https://doi.org/10.1016/j.apergo.2020.103073,0003-6870,2020,103073,85,Applied Ergonomics,Skeuomorphic or flat icons for an efficient visual search by younger and older adults?,article,CHEN2020103073
"The present study investigated effects of cognitive and visual loads on driving performance after take-over request (TOR) in an automated driving task. Participants completed automated driving in a driving simulator without a non-driving related task, with an easy non-driving related task, and with a difficult non-driving related task. The primary task was to monitor the environment and the system state. An N-back task and a Surrogate Reference Task (SuRT) were adapted to induce cognitive and visual loads respectively. The system followed a front vehicle automatically. Driving performance was measured by responses to a critical event (appearance of a broken-down car) after the automated system issued TOR and then terminated. High subjective difficulty of the N-back task was related to increased time and increased steering angle variance in the time course from onset of steering control to lane change, while high subjective difficulty of SuRT was related to increased steering angle variance in the time course after lane change. This suggests that both cognitive and visual loads affect driving performance after TOR in automated driving, but the effects appear in different time courses.","Automated driving, Visual load, Cognitive load, Driving performance, Take-over request",Damee Choi and Toshihisa Sato and Takafumi Ando and Takashi Abe and Motoyuki Akamatsu and Satoshi Kitazaki,https://www.sciencedirect.com/science/article/pii/S0003687018303296,https://doi.org/10.1016/j.apergo.2020.103074,0003-6870,2020,103074,85,Applied Ergonomics,Effects of cognitive and visual loads on driving performance after take-over request (TOR) in automated driving,article,CHOI2020103074
"Background The fast-paced and rapidly changing environment of an Emergency Department (ED) requires providers to have a high level of situation awareness (SA). However, acute clinical care also encompasses a multitude of interruption-laden work processes that might degrade SA. It is therefore important to understand how frequent interruptions affect ED provider cognition in general and SA in particular. Objective We aimed to examine how sources and contents of provider workflow interruptions influence situation awareness of ED physicians and nurses. Methods This prospective, multi-method study combined standardized observations, self-reports of ED providers, and ED administrative data of staffing and patient load. Expert observers identified ED providersâ?? workflow interruptions during 90min observation sessions. Afterwards, each provider reported perceived disruptiveness and situation awareness. Controlling for patient load, patient acuity and staffing, we conducted regression analyses to explore prospective associations between interruptions and provider outcomes. Results During 74 observation sessions of overall 110h and 40min, we observed 1205 workflow interruptions (mean rate: 10.9 interruptions/hour). Provider situation awareness was fairly high (MÂ =Â 7.10; scale 0â??10) with no difference between ED physicians and nurses. After controlling for ED workload data, we observed that high rates of interruptions were associated with lower levels of situation awareness (Î²Â =Â â??0.27). Further analyses revealed that particularly interruptions by telephone/beeper, technical malfunctions as well as interruptive communication related to completed cases were correlated to low SA. Discussion This study in a naturalistic ED setting shows that ED physicians and nurses continuously cope with disruptions and interruptions. Our findings reveal that highly interruptive workflow environments impede providers' situation awareness. Moreover, it sheds light on specific sources and contents of interruptions that influence providersâ?? SA in acute care. Conclusion Frequent workflow interruptions can degrade ED providersâ?? situation awareness. A deeper understanding of how avoidable and unavoidable interruptions affect provider cognitions with particular focus on social and technology-related disruptions is required. Further emphasis should be placed on the effective application of work re-design in this context to foster safe and efficient patient care.","Emergency care, Nursing, Clinical care, Task interruptions, Cognitive performance, Situation awareness",Matthias Weigl and Ken Catchpole and Markus Wehler and Anna Schneider,https://www.sciencedirect.com/science/article/pii/S0003687020301101,https://doi.org/10.1016/j.apergo.2020.103155,0003-6870,2020,103155,88,Applied Ergonomics,Workflow disruptions and provider situation awareness in acute care: An observational study with emergency department physicians and nurses,article,WEIGL2020103155
"The current research proposed and tested a structural equation model (SEM) that describes hypothesized relationships among factors affecting trust in human-robot interaction (HRI) such as trustworthiness, human-likeness, intelligence, perfect automation schema (PAS), and affect. A video stimulus depicting an autonomous guard robot interacting with humans was employed as a stimulus via Amazon's Mechanical Turk to recruit 233 participants. Human-related and robot-related metrics were found to affect trustworthiness that subsequently affected trust. In particular, ability (as a trustworthiness facet) was a dominant factor affecting trust in HRI. Integrity was found to mediate the relationships between robot- and human-related metrics and trustworthiness. This study also showed a correlation between intelligence and trustworthiness, as well as between PAS and trustworthiness. The findings of the present study have significant implications for both theory and practice on factors and levels that affect trust in HRI.","Trustworthiness, Human-robot interaction, Structural equation modelling, Amazon's mechanical turk, Autonomous guard robot",Wonjoon Kim and Nayoung Kim and Joseph B. Lyons and Chang S. Nam,https://www.sciencedirect.com/science/article/pii/S0003687020300132,https://doi.org/10.1016/j.apergo.2020.103056,0003-6870,2020,103056,85,Applied Ergonomics,Factors affecting trust in high-vulnerability human-robot interaction contexts: A structural equation modelling approach,article,KIM2020103056
"This study aimed to examine prospective associations of mobile touch screen device (i.e. smartphone, tablet) use and patterns of use with musculoskeletal symptoms and visual health among adolescents. A representative sample of 1691 adolescents in Singapore (51% girls; 10â??19 years) completed an online questionnaire at baseline and one-year follow-up. After adjusting for potential confounders, prospective associations were found between baseline smartphone use and follow-up neck/shoulder (ORÂ =Â 1.61(95%CIÂ =Â 1.06â??2.44)) and low back (ORÂ =Â 1.86(1.10â??3.14)) symptoms; tablet use was also associated with neck/shoulder, low back and arms symptoms (ORÂ =Â 1.33(1.04â??1.71)to1.52(1.18â??1.95)). No associations were observed between the duration of smartphone/tablet use and symptoms. Baseline patterns of use (bout length, certain types of activities, multitasking) were associated with follow-up musculoskeletal symptoms. Smartphone/tablet use was not related to visual outcomes (visual symptoms, wearing glasses/contact lenses, myopia) at follow-up. These findings suggest that patterns of smartphone/tablet use (though not the duration of use) can pose a prospective risk for musculoskeletal symptoms.","Smartphone, Tablet, Pain",Siao Hui Toh and Pieter Coenen and Erin K. Howie and Anne J. Smith and Swarup Mukherjee and David A. Mackey and Leon M. Straker,https://www.sciencedirect.com/science/article/pii/S0003687019302352,https://doi.org/10.1016/j.apergo.2019.103028,0003-6870,2020,103028,85,Applied Ergonomics,A prospective longitudinal study of mobile touch screen device use and musculoskeletal symptoms and visual health in adolescents,article,TOH2020103028
"Stairs are associated with falls, especially when step dimensions are inconsistent. However, the mechanisms by which inconsistencies cause this higher risk are mostly theoretical. In this experimental study we quantified the effect of inconsistent rise heights on biomechanical measurements of stepping safety from younger (nÂ =Â 26) and older adults (nÂ =Â 33). In ascent, both groups decreased foot clearance (~9Â mm) over the inconsistently higher step (F(1,56)Â =Â 48.4, pÂ <Â 0.001). In descent, they reduced foot contact length on the higher step by 3% (F(1,56)Â =Â 9.1, pÂ <Â 0.01). Reduced clearance may result in a toe-catch potentially leading to a trip, while reduced foot contact lengths increase the risk of overstepping which may also lead to a fall. These effects occurred because participants did not alter their foot trajectories, indicating they either did not detect or were not able to adjust to the inconsistent rise, increasing the likelihood of a fall. Consistent stair construction is vital, and existing inconsistencies should be identified and safety interventions developed.","Variable dimensions, Step geometry, Fall risk",Natasha C. Francksen and Thijs M.A. Ackermans and Denis Holzer and Sophia A. Ebner and Constantinos N. Maganaris and Mark A. Hollands and Kiros Karamanidis and Mike Roys and Thomas D. O'Brien,https://www.sciencedirect.com/science/article/pii/S0003687020300892,https://doi.org/10.1016/j.apergo.2020.103131,0003-6870,2020,103131,87,Applied Ergonomics,Negotiating stairs with an inconsistent riser: Implications for stepping safety,article,FRANCKSEN2020103131
"This study investigated the muscle strength and performance fatigability of the forearms in eight male orthopaedic surgeons when performing bone screw fixations. Each surgeon performed an eight-bone screws operations in a porcine femur model to simulate fractural fixation using plating technique. The pre- and post-fatigue maximum isometric forces and corresponding electromyography responses were measured to assess the forearm muscle strength loss and fatigue due to screwing. Results showed that after eight bone screws were inserted, the maximal grip force, maximal driving torque and maximal push force losses were approximately 29%, 20% and 23%, respectively. While the grip force and/or driving torque acting, both the brachioradialis and extensor carpi ulnaris had a higher percentage change of EMG than the biceps brachii. The driving forces decreased with the number of screw insertions; however, the insertion time increased parabolically with the number of screws and significantly decreased the insertion rate of the screws, indicating that forearm muscle fatigue may occur in surgeons who treat fracture fixation using more than eight bone screws.","Performance fatigability, Maximum isometric forces, driving torque, Handgrip",Chih-Kun Hsiao and Yuan-Kun Tu and Yi-Jung Tsai and Chun-Yuh Yang and Chih-Wei Lu,https://www.sciencedirect.com/science/article/pii/S0003687020300934,https://doi.org/10.1016/j.apergo.2020.103135,0003-6870,2020,103135,87,Applied Ergonomics,Forearm muscular strength and performance fatigability in orthopaedic surgeons when performing bone screw fixations,article,HSIAO2020103135
"This article presents the results of an academic research project connecting the discipline of ergonomics (and work-related issues) with the theme of sustainability. Despite the stated aim of creating value for stakeholders, including employees, companies face difficulties in introducing effective sustainability policies. The research question addressed in this article is the following: How can companies improve their decision-making processes to increase workers' wellbeing using policies integrating issues related to corporate sustainability and ergonomics? Currently, corporate sustainability is focused mainly on the triple bottom line (TBL) concept. In this context, the integration of ergonomics is fragmented and arguably separate from strategic human-resource functions (which have largely been the primary promoter of the internal-social component of corporate sustainability). This research argues that corporate sustainability requires a new step, improving the decision-making process, with the inclusion of more types of rationalities and the recognition of the centrality of workers in the process of creating sustainable action. When corporate sustainability policies focus on worker centrality, they open space for the integration of ergonomics as a pillar of an organization's corporate sustainability strategy. Based on a complex view of work systems, ergonomics can introduce values aligned with sustainability and promote cooperation in organizations. Different stakeholders working at companies can make use of different concepts proposed by ergonomics and other work sciences to support changes in their decision-making processes. In view of broader sustainability objectives, integrating different work-related considerations can help improve performance, including productivity, quality and health.","Ergonomics, Sustainable development, Corporate sustainability, Decision-making process, Rationalities, Sustainability based on values",I. Bolis and S.N. Morioka and C.M. Brunoro and P.C. Zambroni-de-Souza and L.I. Sznelwar,https://www.sciencedirect.com/science/article/pii/S0003687018305908,https://doi.org/10.1016/j.apergo.2020.103148,0003-6870,2020,103148,88,Applied Ergonomics,The centrality of workers to sustainability based on values: Exploring ergonomics to introduce new rationalities into decision-making processes,article,BOLIS2020103148
"Prolonged driving could induce neuromuscular fatigue and discomfort since drivers have little opportunity to adjust their position. However, better car seat design could play a major role in limiting these effects. This study compared the effect of two different seats (S - soft and F - firm) on neuromuscular fatigue and driver's perceived discomfort during prolonged driving, also assessing the effect of different road types on neuromuscular activity. Twenty participants performed two 3-h driving sessions, one for each seat, on a static simulator. Every 20Â min, participants self-evaluated their level of whole-body and individual body-area discomfort. Surface electromyography (sEMG) was recorded for eight muscles including Trapezius descendens (TD), Erector spinae longissimus (ESL), Multifidus (MF), Vastus lateralis (VL) and Tibialis anterior (TA) throughout the driving sessions. Moreover, an endurance static test (EST) was performed prior to and after each driving session. Whole-body discomfort increased with time with both seats, but no difference in discomfort scores was observed between seats throughout the driving sessions. The highest discomfort scores were for neck and lower back areas with both seats. Neuromuscular fatigue was revealed by a shorter endurance time in post-driving EST for both seats. EMG recordings showed different neuromuscular fatigue profiles for the two seats, with earlier onset of fatigue for S. Despite the lack of difference in perceived discomfort level, the two seats have different impacts: the softness of S induces greater activity of the lower back muscles, while F offers greater support for the lower back.","Seat design, Prolonged driving, Neuromuscular fatigue, Discomfort",Mathieu Lecocq and Pascaline Lantoine and ClÃ©ment Bougard and Jean-Marc AllÃ¨gre and Laurent Bauvineau and Christophe Bourdin and Tanguy Marqueste and Erick Dousset,https://www.sciencedirect.com/science/article/pii/S0003687020300776,https://doi.org/10.1016/j.apergo.2020.103118,0003-6870,2020,103118,87,Applied Ergonomics,Neuromuscular fatigue profiles depends on seat feature during long duration driving on a static simulator,article,LECOCQ2020103118
"This study aims to validate a conceptual model for shoulder pain risk factors in two independent samples of male industrial workers: the Cosali cohort (nÂ =Â 334) and one pharmaceutical company (nÂ =Â 487). Direct and indirect relationships between work organization factors (automatic speed of a machine or movement of a product and work pace dependent on customersâ?? demand), psychosocial factors (Job strain model), biomechanical factors (working with abducted arms, working with arms at or above shoulder level, and perceived physical exertion), perceived stress, and shoulder pain were explored using structural equation models. Shoulder pain was positively associated with biomechanical exposure in both samples, and with perceived stress only in the pharmaceutical preparation manufacturer, while factors related to work organization and psychosocial factors had indirect impacts on the risk of chronic shoulder pain in both samples. The results provide a deeper understanding of the complex relationships between workplace risk factors and shoulder pain.","Shoulder pain, Occupational exposure, Structural equation model",Julie Bodin and Ronan GarlantÃ©zec and Nathalie Costet and Alexis Descatha and Jean-FranÃ§ois Viel and Yves Roquelaure,https://www.sciencedirect.com/science/article/pii/S0003687020300259,https://doi.org/10.1016/j.apergo.2020.103075,0003-6870,2020,103075,85,Applied Ergonomics,Shoulder pain among male industrial workers: Validation of a conceptual model in two independent French working populations,article,BODIN2020103075
